Traffic_Level,ID,Weather,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Ratings,temperature,humidity,precipitation,Distance (km),Delivery Time (m)
High,70A2,mist,Snack,scooter,32,4.6,26.55,87.0,0.0,9.89,43.45
High,95B4,clear sky,Meal,scooter,33,4.7,17.51,69.0,0.0,19.11,3.816.666.667
High,CDCD,clear sky,Snack,motorcycle,36,4.2,12.44,77.0,0.0,11.59,3.636.666.667
High,2784,clear sky,Drinks,scooter,23,4.7,19.37,65.0,0.0,21.93,49.45
High,6F67,overcast clouds,Snack,motorcycle,34,4.9,21.29,64.0,0.0,18.26,5.248.333.333
High,539B,clear sky,Buffet,motorcycle,25,4.0,24.51,47.0,0.0,8.97,3.461.666.667
High,8BC0,clear sky,Drinks,scooter,35,4.3,22.92,43.0,0.0,16.08,4.416.666.667
High,30C8,clear sky,Drinks,scooter,32,4.6,19.15,64.0,0.0,26.35,5.438.333.333
High,B843,clear sky,Snack,motorcycle,33,4.9,18.97,65.0,0.0,17.24,4.746.666.667
High,9B18,mist,Snack,motorcycle,22,4.8,19.7,93.0,0.0,12.08,4.728.333.333
High,4F0,clear sky,Drinks,scooter,29,4.6,24.42,49.0,0.0,19.19,46.25
High,6999,clear sky,Drinks,electric_scooter,23,4.9,24.96,48.0,0.0,13.2,4.061.666.667
High,63B6,mist,Drinks,scooter,27,4.9,19.84,93.0,0.0,11.37,4.418.333.333
High,A30B,mist,Drinks,motorcycle,37,4.8,26.14,88.0,0.0,8.68,46.45
High,7AC8,mist,Drinks,motorcycle,28,4.8,23.97,78.0,0.0,15.83,50.35
High,272D,mist,Buffet,motorcycle,24,4.7,24.04,78.0,0.0,19.07,4.971.666.667
High,73CC,clear sky,Drinks,scooter,30,4.4,22.83,42.0,0.0,14.97,42.3
High,A9F,mist,Drinks,scooter,29,4.6,20.21,91.0,0.0,11.19,4.548.333.333
High,4B7F,broken clouds,Buffet,motorcycle,26,4.7,21.4,64.0,0.0,15.46,4.558.333.333
High,56AD,broken clouds,Buffet,motorcycle,24,4.6,21.27,65.0,0.0,12.62,3.636.666.667
High,C19E,mist,Buffet,motorcycle,37,4.6,16.17,82.0,0.0,15.46,4.021.666.667
High,3.50E+07,haze,Buffet,electric_scooter,36,4.8,19.97,68.0,0.0,17.59,4.791.666.667
High,9.70E+04,scattered clouds,Drinks,motorcycle,29,5.0,18.28,81.0,0.0,13.43,48.2
High,22AD,fog,Buffet,motorcycle,27,4.6,19.22,93.0,0.0,18.4,4.681.666.667
High,9F99,smoke,Snack,scooter,23,4.8,27.03,44.0,0.0,19.59,5.281.666.667
High,1.00E+42,clear sky,Drinks,motorcycle,25,4.6,22.85,43.0,0.0,21.81,5.231.666.667
High,DDC8,clear sky,Meal,scooter,39,4.7,21.81,55.0,0.0,9.52,33.3
High,24AC,clear sky,Snack,motorcycle,27,4.6,22.88,43.0,0.0,16.35,40.8
High,628C,mist,Snack,scooter,31,4.8,19.58,93.0,0.0,16.6,4.573.333.333
High,6C38,clear sky,Buffet,electric_scooter,31,4.8,17.84,68.0,0.0,11.34,4.143.333.333
High,8339,clear sky,Drinks,motorcycle,36,4.9,17.58,69.0,0.0,15.03,4.601.666.667
High,3EC5,clear sky,Meal,motorcycle,20,4.9,17.41,69.0,0.0,18.92,35.45
High,6.00E+02,clear sky,Snack,electric_scooter,29,4.6,22.47,44.0,0.0,20.29,4.428.333.333
High,2BC0,clear sky,Snack,scooter,39,4.2,17.32,53.0,0.0,24.35,4.911.666.667
High,39EF,mist,Drinks,motorcycle,32,4.9,26.14,88.0,0.0,8.68,4.663.333.333
High,9A29,clear sky,Snack,scooter,33,4.7,17.88,67.0,0.0,19.03,4.531.666.667
High,4008,clear sky,Meal,electric_scooter,29,4.6,22.9,43.0,0.0,14.52,33.15
High,81A5,mist,Buffet,motorcycle,26,4.4,19.5,93.0,0.0,13.6,4.321.666.667
High,AE56,mist,Snack,motorcycle,24,4.6,25.15,73.0,0.0,21.28,5.013.333.333
High,596A,mist,Drinks,motorcycle,20,4.7,25.02,73.0,0.0,15.95,4.543.333.333
High,78AA,scattered clouds,Meal,motorcycle,20,5.0,18.12,77.0,0.0,26.21,3.933.333.333
High,8.70E+05,clear sky,Meal,motorcycle,36,4.0,22.48,43.0,0.0,18.92,3.173.333.333
High,82C3,clear sky,Drinks,scooter,22,4.8,17.58,69.0,0.0,14.99,4.543.333.333
High,5397,clear sky,Buffet,motorcycle,38,4.4,19.01,65.0,0.0,15.81,37.75
High,3A5A,haze,Snack,scooter,24,4.9,17.08,72.0,0.0,13.69,36.3
High,DE01,mist,Snack,motorcycle,39,4.7,23.9,88.0,0.0,15.77,4.481.666.667
High,8771,clear sky,Drinks,motorcycle,31,4.3,22.63,43.0,0.0,16.42,4.093.333.333
High,C141,clear sky,Meal,motorcycle,39,4.7,22.03,55.0,0.0,16.02,3.488.333.333
High,690F,clear sky,Snack,motorcycle,37,4.6,17.54,69.0,0.0,18.5,4.068.333.333
High,B4BA,broken clouds,Meal,scooter,25,4.9,21.29,64.0,0.0,10.7,32.2
High,1B58,haze,Drinks,motorcycle,29,4.6,19.83,68.0,0.0,12.55,4.281.666.667
High,3F8D,smoke,Snack,motorcycle,25,4.8,26.83,44.0,0.0,11.65,5.158.333.333
High,7ECE,clear sky,Buffet,motorcycle,39,4.7,17.84,68.0,0.0,12.97,4.716.666.667
High,1365,haze,Meal,motorcycle,38,3.9,17.19,72.0,0.0,16.78,34.9
High,4B5B,broken clouds,Meal,motorcycle,38,4.3,18.43,82.0,0.0,19.64,4.068.333.333
High,7405,clear sky,Buffet,motorcycle,36,4.9,23.05,43.0,0.0,14.03,33.5
High,D02B,clear sky,Meal,motorcycle,26,4.1,21.74,56.0,0.0,18.1,4.413.333.333
High,1F0E,broken clouds,Drinks,motorcycle,36,4.9,18.22,81.0,0.0,14.53,4.266.666.667
High,7A1F,clear sky,Snack,motorcycle,23,4.6,19.37,65.0,0.0,21.48,4.323.333.333
High,CEAC,haze,Buffet,motorcycle,37,5.0,22.98,83.0,0.0,15.08,4.091.666.667
High,A0A5,mist,Snack,motorcycle,26,4.8,19.73,93.0,0.0,13.71,47.9
High,892D,clear sky,Snack,scooter,29,5.0,22.88,43.0,0.0,15.2,3.876.666.667
High,6118,clear sky,Snack,motorcycle,26,4.9,17.27,53.0,0.0,22.02,41.1
